Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Dean Wade,57,331,240,86,43,22,68,16,0,0,1,0,640.5,11.24
Jordan Miller,51,498,158,110,37,8,29,54,0,0,1,0,568.5,11.15
Dru Smith,67,388,172,178,98,21,38,55,0,0,0,0,746.0,11.13
Craig Porter Jr.,58,258,193,187,55,32,30,54,0,0,0,0,644.0,11.1
Quinten Post,66,513,267,94,26,34,93,56,0,0,0,0,728.0,11.03
Alex Caruso,50,320,138,100,69,17,47,43,0,0,0,0,550.5,11.01
Jamir Watkins,39,247,140,47,42,21,32,25,0,0,0,0,427.5,10.96
Daeqwon Plowden,23,223,71,26,16,4,37,15,0,0,0,0,252.0,10.96
Daniss Jenkins,62,526,125,212,56,12,58,88,0,0,2,0,679.0,10.95
Terance Mann,59,430,187,183,36,14,51,66,0,0,0,0,644.5,10.92
Isaac Okoro,56,509,152,88,38,24,65,41,0,0,0,0,610.0,10.89
Ryan Dunn,63,371,262,90,54,27,53,49,0,0,1,0,678.0,10.76
Jonas Valančiūnas,58,480,284,68,14,31,6,65,0,0,3,0,623.0,10.74
Kentavious Caldwell-Pope,51,428,125,139,43,8,55,61,0,0,0,0,546.5,10.72
AJ Green,67,642,167,123,31,5,185,58,0,0,0,0,717.5,10.71
Taylor Hendricks,53,390,191,52,42,29,56,44,0,0,2,0,566.0,10.68
DeAndre Jordan,10,41,64,8,3,8,0,9,0,0,0,0,105.5,10.55
Vít Krejčí,64,548,148,100,47,18,128,41,0,0,0,0,675.0,10.55
Cam Thomas,42,567,71,108,9,4,52,74,1,0,0,0,441.5,10.51
Gary Payton II,64,450,223,110,56,19,36,56,0,0,2,0,672.0,10.5
Jaxson Hayes,61,429,248,54,27,45,2,26,0,0,1,0,636.5,10.43
Caris LeVert,52,380,101,141,46,32,53,73,0,0,0,0,541.5,10.41
Grant Williams,28,191,108,48,11,12,38,25,0,0,0,0,291.5,10.41
Olivier-Maxence Prosper,47,416,161,45,34,12,46,42,0,0,1,0,488.0,10.38
Walter Clayton Jr.,61,448,122,236,41,16,61,95,0,0,0,0,631.5,10.35
Simone Fontecchio,64,544,198,94,34,9,111,47,0,0,0,0,658.5,10.29
Kris Murray,48,285,179,63,46,19,29,37,0,0,0,0,492.0,10.25
John Konchar,46,164,159,70,61,26,20,27,0,0,0,0,468.0,10.17
Svi Mykhailiuk,48,438,118,91,24,3,89,39,0,0,0,0,487.5,10.16
Jaden Ivey,37,316,91,68,23,14,50,41,0,0,0,0,375.0,10.14
Nikola Jović,46,339,153,100,26,17,44,65,0,0,0,0,465.5,10.12
Landry Shamet,46,442,85,67,27,9,95,28,0,0,0,0,464.5,10.1
Nolan Traore,49,408,81,183,33,20,49,107,0,0,1,0,492.5,10.05
Adem Bona,63,306,285,28,27,80,2,51,0,0,1,0,631.0,10.02
MarJon Beauchamp,11,89,31,14,9,4,15,13,0,0,0,0,110.0,10.0
Josh Minott,44,299,144,42,37,19,54,36,0,0,1,0,439.5,9.99
Ryan Nembhard,51,325,99,252,19,1,43,71,0,0,3,0,507.0,9.94
Elijah Harkless,23,153,41,62,27,4,18,23,0,0,1,0,228.5,9.93
Luka Garza,62,469,243,57,25,24,47,43,0,0,1,0,614.0,9.9
Pat Spencer,56,384,125,191,40,4,48,68,0,0,1,0,553.0,9.88
Javonte Green,72,489,196,49,90,22,76,42,0,0,1,0,710.5,9.87
Malachi Smith,6,37,13,16,6,3,5,9,0,0,0,0,59.0,9.83
Trendon Watford,50,338,173,129,16,21,10,62,0,0,1,1,491.0,9.82
Will Richard,62,428,158,86,77,7,68,52,0,0,0,0,608.0,9.81
Tristan Vukcevic,46,400,140,52,17,31,44,60,0,0,1,0,451.0,9.8
Cam Whitmore,21,193,58,15,15,8,16,18,0,0,0,0,205.5,9.79
Karlo Matković,59,338,217,49,24,51,38,31,0,0,1,0,574.0,9.73
Devin Carter,29,217,78,63,24,5,15,33,0,0,0,0,282.0,9.72
Luke Kennard,69,558,150,135,44,8,107,51,0,0,0,0,670.5,9.72
Keon Ellis,64,407,116,58,76,44,80,37,0,0,0,0,620.5,9.7
Ben Sheppard,61,432,185,106,36,5,81,38,0,0,0,0,591.5,9.7
Jarred Vanderbilt,57,255,257,70,47,18,27,49,0,0,1,0,550.0,9.65
Cody Williams,57,423,159,89,38,24,25,51,0,0,1,0,546.0,9.58
Jordan Walsh,58,308,237,43,41,24,40,32,0,0,2,0,554.0,9.55
Corey Kispert,52,483,126,88,15,7,76,41,0,0,0,0,496.5,9.55
Bones Hyland,63,505,103,159,35,14,94,58,0,0,0,0,601.5,9.55
Sion James,72,391,249,141,42,20,73,60,0,0,0,0,686.0,9.53
Spencer Jones,61,348,201,50,50,28,57,30,0,0,1,0,580.5,9.52
Ja'Kobe Walter,61,431,147,66,59,12,83,31,0,0,0,0,581.0,9.52
Cole Anthony,35,234,87,121,20,11,22,65,0,0,0,0,333.0,9.51
Will Riley,63,563,161,108,38,6,62,74,0,0,1,0,596.5,9.47
Blake Hinson,10,96,24,8,1,1,25,2,0,0,0,0,94.5,9.45
Matisse Thybulle,21,103,35,17,40,10,22,16,0,0,0,0,198.5,9.45
Quenton Jackson,40,334,87,96,22,6,35,47,0,0,1,0,377.5,9.44
Oscar Tshiebwe,17,97,81,14,8,3,0,5,0,0,0,0,160.5,9.44
Kevon Looney,18,52,96,25,6,9,1,8,0,0,0,0,169.5,9.42
Kasparas Jakučionis,46,271,123,114,31,5,56,43,0,0,0,0,429.5,9.34
Bryce McGowens,42,340,88,62,27,8,38,17,0,0,0,0,392.0,9.33
Killian Hayes,14,71,37,48,7,3,10,15,0,0,0,0,130.5,9.32
Bogdan Bogdanović,21,154,56,51,10,1,28,26,0,0,0,0,194.0,9.24
Mouhamed Gueye,69,314,248,61,57,35,35,33,0,0,3,0,637.5,9.24
Johnny Furphy,35,180,153,41,20,7,23,29,0,0,1,0,321.5,9.19
Moussa Cisse,34,127,166,8,12,37,0,25,0,0,1,0,311.5,9.16
Patrick Williams,62,427,175,82,39,20,82,62,0,0,0,0,567.5,9.15
Clint Capela,64,240,290,42,31,51,0,35,0,0,0,0,581.0,9.08
Tidjane Salaün,36,222,149,27,16,7,36,25,0,0,1,0,327.0,9.08
Jared McCain,58,497,122,80,32,5,92,47,0,0,0,0,523.5,9.03
Buddy Hield,49,359,113,68,38,9,67,47,0,0,0,0,441.0,9.0
Kenrich Williams,48,318,153,65,29,5,44,37,0,0,0,0,430.0,8.96
Nick Richards,48,276,243,16,10,32,5,59,0,0,4,0,428.5,8.93
Moritz Wagner,30,228,102,23,14,1,21,17,0,0,0,0,262.5,8.75
Jahmai Mashack,24,119,52,32,29,12,14,23,0,0,0,0,209.5,8.73
Baylor Scheierman,67,330,236,92,37,5,74,36,0,0,4,0,582.0,8.69
Isaiah Stevens,3,10,3,10,5,0,0,2,0,0,0,0,26.0,8.67
Jevon Carter,43,285,75,69,30,9,68,28,0,0,0,0,370.5,8.62
Tyrese Martin,45,290,116,78,25,6,53,40,0,0,0,0,387.5,8.61
Kobe Sanders,59,418,142,100,40,8,67,75,0,0,0,0,505.5,8.57
Nae'Qwan Tomlin,57,318,154,43,39,30,20,23,0,0,0,0,481.0,8.44
Sidy Cissoko,66,374,153,101,50,24,59,65,0,0,0,0,553.5,8.39
Jordan Clarkson,63,567,108,86,26,9,70,59,0,0,0,0,523.5,8.31
Jeremiah Robinson-Earl,22,101,103,15,9,1,10,12,0,0,0,0,181.5,8.25
Jamaree Bouyea,39,224,71,68,27,14,20,22,0,0,0,0,321.0,8.23
Ousmane Dieng,46,273,114,74,16,14,52,35,0,0,2,0,377.5,8.21
Justin Edwards,56,354,89,76,48,11,61,34,0,0,0,0,456.5,8.15
Thomas Bryant,55,326,175,31,17,24,40,23,0,0,0,0,448.0,8.15
Seth Curry,4,27,6,7,2,0,4,0,0,0,0,0,32.5,8.12
Mike Conley,47,195,80,134,26,12,42,27,0,0,0,0,381.5,8.12
Haywood Highsmith,6,33,13,7,4,0,8,0,0,0,0,0,48.5,8.08
Noah Penda,53,224,181,63,29,18,29,40,0,0,2,0,426.5,8.05
Mo Bamba,4,10,22,1,0,3,0,2,0,0,0,0,32.0,8.0
Skal Labissiere,3,13,9,3,2,1,1,1,0,0,0,0,24.0,8.0
Jericho Sims,56,228,276,63,11,13,0,57,0,0,3,0,447.0,7.98
Ben Saraf,35,223,57,108,30,5,13,74,0,0,0,0,279.0,7.97
Sharife Cooper,30,206,66,75,9,4,18,40,0,0,0,0,239.0,7.97
KJ Simpson,17,89,34,43,16,0,12,24,0,0,0,0,135.5,7.97
Guerschon Yabusele,60,305,195,53,23,13,59,35,0,0,4,0,471.0,7.85
Jalen Pickett,45,231,107,104,13,4,44,30,0,0,0,0,352.5,7.83
Josh Okogie,68,324,177,56,58,13,59,37,0,0,1,0,530.5,7.8
John Poulakidas,4,22,10,3,3,0,6,2,0,0,0,0,31.0,7.75
Tolu Smith,9,37,35,7,2,5,0,5,0,0,0,0,69.5,7.72
Mac McClung,4,23,5,2,5,2,2,3,0,0,0,0,30.5,7.62
Nicolas Batum,66,266,170,59,45,21,83,36,0,0,0,0,499.5,7.57
Hugo González,67,266,231,39,38,21,37,35,0,0,2,0,506.5,7.56
Gary Trent Jr.,59,455,61,71,28,3,108,31,0,0,0,0,444.5,7.53
Brandon Clarke,2,8,6,1,2,0,0,0,0,0,0,0,15.0,7.5
Taurean Prince,16,97,33,14,9,2,24,10,0,0,0,0,119.5,7.47
Ethan Thompson,24,123,44,35,15,6,23,16,0,0,0,0,178.0,7.42
Gradey Dick,66,423,139,49,43,7,54,39,0,0,1,0,488.5,7.4
PJ Hall,19,86,75,10,3,10,3,16,0,0,1,0,140.5,7.39
Drew Eubanks,42,219,127,19,15,26,1,30,0,0,1,0,309.0,7.36
Jaden Hardy,50,437,76,45,14,5,84,53,0,0,0,0,366.5,7.33
Tre Mann,47,279,89,84,24,5,50,53,0,0,0,0,342.5,7.29
LJ Cryer,12,99,21,7,2,0,26,7,0,0,0,0,87.5,7.29
Myron Gardner,39,154,116,39,19,7,26,14,0,0,1,0,284.0,7.28
Dwight Powell,53,168,196,49,25,17,1,31,0,0,3,0,385.5,7.27
Marcus Sasser,28,155,30,58,20,2,34,23,0,0,0,0,203.5,7.27
Christian Koloko,24,64,72,15,13,21,1,13,0,0,0,0,174.5,7.27
Leonard Miller,36,207,109,24,10,8,16,20,0,0,1,0,261.5,7.26
Rob Dillingham,55,296,97,122,39,4,29,69,0,0,0,0,398.5,7.25
Chris Paul,16,47,28,53,11,0,10,16,0,0,0,0,115.5,7.22
Caleb Martin,58,227,143,81,40,15,20,40,0,0,0,0,417.5,7.2
Julian Strawther,48,324,92,48,21,4,42,29,0,0,0,0,344.0,7.17
Colby Jones,1,2,4,2,0,0,0,0,0,0,0,0,7.0,7.0
Markelle Fultz,1,2,0,5,2,0,0,3,0,0,0,0,7.0,7.0
Anthony Gill,44,190,114,44,23,16,10,29,0,0,0,0,307.0,6.98
Blake Wesley,25,131,33,61,16,3,10,29,0,0,0,0,173.5,6.94
Jabari Walker,60,267,186,33,23,13,31,26,0,0,2,0,416.0,6.93
Tyler Kolek,58,257,93,160,21,4,41,53,0,0,2,0,401.0,6.91
Grant Nelson,4,17,6,5,1,5,0,4,0,0,0,0,27.5,6.88
Cody Martin,4,7,14,2,4,2,0,4,0,0,0,0,27.5,6.88
Drake Powell,54,325,91,80,25,10,40,53,0,0,0,0,370.5,6.86
Branden Carlson,36,170,93,21,6,18,21,13,0,0,1,0,245.5,6.82
Josh Green,48,232,96,43,31,5,53,29,0,0,0,0,324.5,6.76
Trayce Jackson-Davis,47,167,138,37,16,22,1,21,0,0,1,0,315.0,6.7
Bradley Beal,6,49,5,10,3,0,7,9,0,0,0,0,40.0,6.67
Rayan Rupert,59,244,146,46,44,6,37,41,0,0,0,0,391.5,6.64
Yuki Kawamura,11,33,21,32,6,0,5,11,0,0,0,0,73.0,6.64
Dalen Terry,47,174,84,66,29,15,24,26,0,0,0,0,311.0,6.62
Kobe Brown,53,255,138,51,16,10,38,42,0,0,0,0,345.5,6.52
Ochai Agbaji,58,280,130,44,23,17,30,31,0,0,0,0,378.0,6.52
Charles Bassey,5,13,17,2,2,2,0,1,0,0,0,0,32.5,6.5
Patrick Baldwin Jr.,9,33,23,5,3,5,6,5,0,0,0,0,58.5,6.5
Kam Jones,30,123,43,80,14,0,17,27,0,0,1,0,195.0,6.5
Yanic Konan Niederhäuser,41,176,117,12,5,30,1,23,0,0,0,0,264.5,6.45
Larry Nance Jr.,29,95,75,27,15,4,18,13,0,0,0,0,183.5,6.33
Pete Nance,38,177,86,28,9,9,35,17,0,0,0,0,239.0,6.29
Asa Newell,40,201,81,20,15,13,27,21,0,0,1,0,251.0,6.28
Jett Howard,50,271,83,43,10,10,49,13,0,0,0,0,313.0,6.26
Zeke Nnaji,48,179,126,24,17,21,13,25,0,0,2,0,299.0,6.23
Chris Boucher,9,21,18,3,5,7,2,1,0,0,0,0,55.5,6.17
Dorian Finney-Smith,34,107,88,34,15,6,25,21,0,0,0,0,209.0,6.15
Nate Williams,10,68,17,9,3,0,7,8,0,0,0,0,61.5,6.15
Tyus Jones,63,185,67,151,36,3,36,22,0,0,0,0,384.5,6.1
Micah Peavy,52,204,95,48,31,6,21,15,0,0,0,0,314.5,6.05
Alex Morales,1,2,3,4,0,0,0,2,0,0,0,0,6.0,6.0
Cormac Ryan,1,5,0,1,1,0,1,0,0,0,0,0,6.0,6.0
Garrison Mathews,15,78,17,10,6,3,17,3,0,0,0,0,89.5,5.97
Jonathan Isaac,52,134,132,22,20,31,7,18,0,0,0,0,308.5,5.93
Jalen Wilson,46,256,78,28,18,2,47,25,0,0,0,0,272.5,5.92
Carter Bryant,61,240,154,32,12,17,42,26,0,0,0,0,359.0,5.89
Rasheer Fleming,47,184,104,11,16,18,36,17,0,0,0,0,276.0,5.87
Gabe Vincent,45,203,44,62,22,2,52,19,0,0,0,0,262.5,5.83
RayJ Dennis,16,64,23,30,4,4,12,15,0,0,0,0,92.0,5.75
Liam McNeeley,29,122,66,23,5,3,23,13,0,0,0,0,164.5,5.67
Keshon Gilbert,3,6,5,3,2,4,0,6,0,0,0,0,17.0,5.67
Aaron Holiday,46,253,40,47,22,4,51,30,0,0,0,0,261.0,5.67
Jaylen Clark,61,231,107,34,39,8,26,20,0,0,0,0,343.5,5.63
Tony Bradley,38,151,107,20,6,7,1,17,0,0,0,0,212.0,5.58
Taelon Peter,31,122,42,32,17,4,31,20,0,0,0,0,172.5,5.56
Luke Travers,12,28,24,9,7,4,1,3,0,0,0,0,66.5,5.54
Jeremy Sochan,40,137,92,34,15,6,9,20,0,0,0,0,221.0,5.53
Nick Smith Jr.,25,146,20,28,9,2,27,19,0,0,0,0,137.5,5.5
Keaton Wallace,49,174,51,85,21,5,37,25,0,0,0,0,268.5,5.48
Eric Gordon,6,33,2,3,4,1,8,3,0,0,0,0,32.5,5.42
Doug McDermott,21,111,23,12,4,3,33,9,0,0,0,0,112.0,5.33
Malaki Branham,28,128,44,23,10,3,14,15,0,0,0,0,149.0,5.32
Tyrese Proctor,43,201,44,55,19,0,36,27,0,0,0,0,228.5,5.31
Malevy Leons,18,47,36,10,8,7,3,6,0,0,0,0,95.0,5.28
David Jones Garcia,11,32,13,18,6,1,3,5,0,0,0,0,57.5,5.23
Omer Yurtseven,5,16,16,4,2,0,0,6,0,0,0,0,26.0,5.2
Jase Richardson,47,219,55,54,16,2,27,24,0,0,0,0,244.0,5.19
Tyson Etienne,16,95,11,15,3,0,25,9,0,0,0,0,83.0,5.19
Keshad Johnson,26,100,50,4,10,7,12,12,0,0,1,0,133.0,5.12
Taj Gibson,5,13,13,1,1,1,2,0,0,0,0,0,25.5,5.1
Ron Harper Jr.,24,82,37,15,4,8,21,5,0,0,0,0,122.5,5.1
Kelly Olynyk,39,123,71,44,14,3,11,23,0,0,0,0,193.0,4.95
Mason Plumlee,17,27,46,17,8,0,0,9,0,0,0,0,83.5,4.91
Gary Harris,45,116,56,46,25,7,26,18,0,0,0,0,219.0,4.87
Ariel Hukporti,49,88,135,24,8,23,1,28,0,0,0,0,237.5,4.85
E.J. Liddell,18,48,33,13,3,7,7,7,0,0,0,0,86.5,4.81
Miles Kelly,14,43,24,12,4,1,10,6,0,0,0,0,66.5,4.75
Jamal Cain,30,126,45,16,7,2,18,11,0,0,0,0,140.0,4.67
DaRon Holmes II,20,83,30,16,0,4,18,11,0,0,0,0,93.5,4.67
Monte Morris,6,18,7,9,1,1,2,2,0,0,0,0,28.0,4.67
Maxi Kleber,37,78,71,23,15,10,6,14,0,0,0,0,172.0,4.65
A.J. Lawson,14,49,23,3,4,3,8,4,0,0,0,0,64.5,4.61
Dalton Knecht,48,201,68,16,10,10,31,20,0,0,0,0,220.0,4.58
Jordan Hawkins,43,163,65,27,8,7,31,23,0,0,0,0,196.0,4.56
David Roddy,2,2,4,2,1,0,0,0,0,0,0,0,9.0,4.5
Mohamed Diawara,62,223,87,43,14,6,47,28,0,0,0,0,277.0,4.47
Joan Beringer,33,93,64,8,4,14,0,8,0,0,0,0,146.5,4.44
Khaman Maluach,38,94,82,6,4,21,3,23,0,0,0,0,163.5,4.3
Wendell Moore Jr.,5,10,6,3,2,2,0,1,0,0,0,0,21.0,4.2
Isaiah Livers,36,65,61,21,13,8,12,12,0,0,0,0,150.5,4.18
Terrence Shannon Jr.,33,135,33,21,11,1,20,18,0,0,0,0,137.5,4.17
Cam Christie,48,150,70,29,16,3,12,20,0,0,0,0,198.0,4.12
Drew Timme,21,72,27,16,5,0,8,7,0,0,0,0,86.0,4.1
Pat Connaughton,35,101,52,17,10,1,19,9,0,0,0,0,142.0,4.06
Colin Castleton,1,2,4,1,0,0,0,2,0,0,0,0,4.0,4.0
Sean Pedulla,3,13,1,3,0,0,3,0,0,0,0,0,12.0,4.0
Trey Alexander,5,14,4,5,1,1,2,1,0,0,0,0,20.0,4.0
Julian Phillips,43,116,46,8,21,7,17,8,0,0,0,0,168.5,3.92
Duop Reath,32,94,38,10,5,8,23,7,0,0,0,0,125.5,3.92
Emanuel Miller,5,15,3,4,2,0,2,0,0,0,0,0,19.5,3.9
Jamison Battle,53,176,81,22,6,2,34,19,0,0,0,0,205.0,3.87
Amir Coffey,43,125,52,24,8,5,13,6,0,0,0,0,165.0,3.84
Hunter Tyson,21,46,36,17,2,1,7,5,0,0,0,0,80.5,3.83
TyTy Washington Jr.,10,21,3,14,4,2,3,3,0,0,0,0,38.0,3.8
JD Davison,25,55,23,28,5,4,8,7,0,0,0,0,93.5,3.74
Alijah Martin,16,40,14,8,7,3,3,4,0,0,0,0,59.5,3.72
Norchad Omier,3,8,4,1,1,0,0,0,0,0,0,0,11.0,3.67
James Wiseman,4,13,8,3,0,1,0,5,0,0,0,0,14.5,3.62
Jonathan Mogbo,31,47,52,16,9,6,0,10,0,0,0,0,111.5,3.6
Drew Peterson,6,5,9,2,3,1,0,0,0,0,0,0,21.5,3.58
Jae'Sean Tate,36,92,48,17,9,3,8,11,0,0,0,0,128.0,3.56
AJ Johnson,40,112,46,36,9,2,9,24,0,0,0,0,140.5,3.51
Chris Livingston,3,9,3,1,1,0,0,0,0,0,0,0,10.5,3.5
Rocco Zikarsky,4,6,5,0,0,3,0,0,0,0,0,0,14.0,3.5
Lachlan Olbrich,27,36,50,17,6,2,2,8,0,0,0,0,94.0,3.48
Jordan McLaughlin,38,76,26,35,17,2,16,14,0,0,0,0,131.0,3.45
Bronny James,33,70,16,39,13,3,12,14,0,0,0,0,114.0,3.45
Kobe Bufkin,11,33,9,5,2,3,3,4,0,0,0,0,38.0,3.45
Amari Williams,19,24,31,8,2,9,0,8,0,0,0,0,65.0,3.42
Kevin McCullar Jr.,20,36,26,19,7,0,6,12,0,0,0,0,68.0,3.4
Xavier Tillman,25,36,38,11,8,3,3,7,0,0,0,0,83.5,3.34
Brooks Barnhizer,36,47,63,18,6,4,5,8,0,0,0,0,119.0,3.31
Chaz Lanier,26,65,19,14,7,0,16,2,0,0,0,0,85.5,3.29
Bobi Klintman,11,20,18,6,3,0,4,6,0,0,0,0,36.0,3.27
Orlando Robinson,4,7,4,3,1,0,1,0,0,0,0,0,13.0,3.25
Nikola Topić,5,16,8,10,0,0,2,11,0,0,0,0,16.0,3.2
Riley Minix,5,13,5,3,1,0,1,1,0,0,0,0,16.0,3.2
Tristan Enaruna,6,13,9,3,1,0,1,2,0,0,0,0,19.0,3.17
Antonio Reeves,9,27,8,2,1,0,7,1,0,0,0,0,28.0,3.11
Yang Hansen,40,89,61,22,3,9,5,30,0,0,0,0,124.0,3.1
Dillon Jones,6,7,6,4,2,0,1,0,0,0,0,0,18.0,3.0
Chris Youngblood,33,71,28,12,4,3,18,2,0,0,0,0,96.5,2.92
Lindy Waters III,37,88,27,18,5,1,25,6,0,0,0,0,107.5,2.91
Johni Broome,11,10,16,4,3,2,0,3,0,0,0,0,32.0,2.91
Andre Jackson Jr.,38,50,42,33,9,2,7,16,0,0,0,0,109.5,2.88
N'Faly Dante,4,3,7,0,2,0,0,1,0,0,0,0,11.5,2.88
Chris Mañon,6,2,6,1,3,2,0,1,0,0,0,0,17.0,2.83
Kyle Lowry,13,17,9,11,2,2,4,4,0,0,0,0,34.5,2.65
Isaiah Crawford,12,17,10,4,2,3,2,2,0,0,0,0,31.5,2.62
Nigel Hayes-Davis,27,34,33,7,8,2,2,8,0,0,0,0,70.0,2.59
Koby Brea,6,16,2,3,0,0,4,0,0,0,0,0,15.0,2.5
Zyon Pullin,2,4,0,3,1,0,0,2,0,0,0,0,5.0,2.5
Jayson Kent,2,5,2,0,0,0,1,0,0,0,0,0,5.0,2.5
Enrique Freeman,2,0,3,0,0,1,0,0,0,0,0,0,5.0,2.5
Adou Thiero,20,29,20,6,5,2,0,5,0,0,0,0,49.5,2.48
Thanasis Antetokounmpo,29,36,24,7,9,5,0,6,0,0,0,0,71.0,2.45
Dalano Banton,5,10,1,4,1,1,0,2,0,0,0,0,12.0,2.4
Jeff Green,26,59,19,5,1,1,12,1,0,0,0,0,62.5,2.4
Johnny Juzang,21,43,17,6,2,1,6,5,0,0,0,0,48.5,2.31
Javonte Cooke,19,23,19,7,6,0,3,9,0,0,0,0,42.0,2.21
Trey Jemison III,11,9,16,3,1,2,0,6,0,0,0,0,23.5,2.14
Pacôme Dadiet,25,29,20,10,3,1,5,2,0,0,0,0,53.0,2.12
Stanley Umude,2,2,0,1,1,0,0,0,0,0,0,0,4.0,2.0
Curtis Jones,6,9,5,3,0,0,1,1,0,0,0,0,12.0,2.0
Chucky Hepburn,2,0,1,2,1,0,0,1,0,0,0,0,4.0,2.0
Payton Sandfort,1,3,1,0,0,0,1,1,0,0,0,0,2.0,2.0
Caleb Houstan,16,31,7,3,2,1,8,4,0,0,0,0,31.5,1.97
Joe Ingles,24,19,9,20,7,1,3,9,0,0,0,0,47.0,1.96
Mark Sears,7,22,2,2,0,0,4,4,0,0,0,0,13.0,1.86
Jahmir Young,11,20,4,6,1,0,2,3,0,0,0,0,20.0,1.82
Dario Saric,5,5,6,2,0,0,1,2,0,0,0,0,9.0,1.8
Harrison Ingram,5,9,3,1,0,0,1,0,0,0,0,0,9.0,1.8
Vladislav Goldin,5,4,4,2,0,1,0,1,0,0,0,0,9.0,1.8
Bismack Biyombo,22,21,20,5,4,1,0,7,0,0,0,0,38.5,1.75
Isaac Jones,5,7,4,1,0,0,0,0,0,0,0,0,8.5,1.7
Jacob Toppin,5,8,1,1,0,1,0,0,0,0,0,0,8.0,1.6
Trentyn Flowers,2,4,1,1,0,0,0,1,0,0,0,0,3.0,1.5
Garrett Temple,18,14,7,8,3,2,2,7,0,0,0,0,26.0,1.44
John Tonje,3,2,2,1,0,0,0,0,0,0,0,0,4.0,1.33
Tyler Smith,3,3,2,0,1,0,0,2,0,0,0,0,3.5,1.17
CJ Huntley,1,2,0,0,0,0,0,0,0,0,0,0,1.0,1.0
Noa Essengue,2,0,0,0,1,0,0,0,0,0,0,0,2.0,1.0
Darius Brown,1,0,1,0,0,0,0,0,0,0,0,0,1.0,1.0
Hunter Dickinson,1,2,0,0,0,1,0,2,0,0,0,0,1.0,1.0
Buddy Boeheim,4,6,0,0,0,0,2,0,0,0,0,0,4.0,1.0
Hunter Sallis,7,7,1,4,0,1,0,5,0,0,0,0,5.5,0.79
Jahmyl Telfort,8,1,3,1,1,0,0,1,0,0,0,0,5.5,0.69
Max Shulga,6,4,1,2,0,0,0,1,0,0,0,0,4.0,0.67
Trevor Keels,4,0,2,0,0,0,0,0,0,0,0,0,2.0,0.5
Tosan Evbuomwan,5,0,2,0,0,0,0,0,0,0,0,0,2.0,0.4
